Image1,Image2,PSNR,SSIM,MSE,LPIPS,DISTS
033154971-f66a3e8c-97c1-47f6-b590-afc8d761ca2e_jpg.rf.82748684ce7392ff865e0a4d7a7312fb_HR.png,033154971-f66a3e8c-97c1-47f6-b590-afc8d761ca2e_jpg.rf.82748684ce7392ff865e0a4d7a7312fb_LR.png,29.365402386317186,0.6956655635962384,75.2558251953125,0.30876922607421875,0.08942222595214844
1000_F_125576821_JU2Pwcw838NfTEnQnnxIki81gjOxdYlm_jpg.rf.bbc60031d3dc808149f01a6ee492f528_HR.png,1000_F_125576821_JU2Pwcw838NfTEnQnnxIki81gjOxdYlm_jpg.rf.bbc60031d3dc808149f01a6ee492f528_LR.png,29.39553810862913,0.575523278423788,74.73543212890625,0.3858624994754791,0.13630932569503784
1000_F_126093845_sIvwmXk6lnhypxz5sN97YBzQGuvcmkpU_jpg.rf.a3db35d89f8ca4289d7855edb65b7df8_HR.png,1000_F_126093845_sIvwmXk6lnhypxz5sN97YBzQGuvcmkpU_jpg.rf.a3db35d89f8ca4289d7855edb65b7df8_LR.png,31.162315262648367,0.7252900617236183,49.75638671875,0.3993876874446869,0.1556454300880432
1000_F_134447793_EnhBk05fYouwQELUpZSTSEKk8JrYkNnp_jpg.rf.d1073e4b5c43a1108cb2417c7aef195d_HR.png,1000_F_134447793_EnhBk05fYouwQELUpZSTSEKk8JrYkNnp_jpg.rf.d1073e4b5c43a1108cb2417c7aef195d_LR.png,29.52269123596527,0.6043502238290364,72.57904296875,0.363494336605072,0.11930263042449951
1000_F_234736202_BXMvSxxBXUTNjl8yYnDxabjrs5HEeaaf_jpg.rf.6325c3b929792b6d45af761fee3a814a_HR.png,1000_F_234736202_BXMvSxxBXUTNjl8yYnDxabjrs5HEeaaf_jpg.rf.6325c3b929792b6d45af761fee3a814a_LR.png,33.20398801785143,0.7924722192490781,31.09435546875,0.33970093727111816,0.10140740871429443
1000_F_234818682_heLTbtXJzmq90RNTxosHXnAqaLA6jcQH_jpg.rf.43a672a68847fd9517c9ba0ab06caab0_HR.png,1000_F_234818682_heLTbtXJzmq90RNTxosHXnAqaLA6jcQH_jpg.rf.43a672a68847fd9517c9ba0ab06caab0_LR.png,32.50412025876163,0.732944194465724,36.53156982421875,0.3521648943424225,0.10697025060653687
1000_F_296545591_ZCTwR7gLtfzDCadpW7Qn6P0afI1AOQFo_jpg.rf.a8ba2d2e07a065bbeb251757f86cd219_HR.png,1000_F_296545591_ZCTwR7gLtfzDCadpW7Qn6P0afI1AOQFo_jpg.rf.a8ba2d2e07a065bbeb251757f86cd219_LR.png,30.381044878816258,0.6401557083646127,59.5629052734375,0.37986141443252563,0.09286832809448242
1000_F_296545708_jGH52yxeGaUGBKk3udIOMoeqfXz5EJ0o_jpg.rf.a77faab140854bc0c4a3b99d99841ab9_HR.png,1000_F_296545708_jGH52yxeGaUGBKk3udIOMoeqfXz5EJ0o_jpg.rf.a77faab140854bc0c4a3b99d99841ab9_LR.png,30.276505920563828,0.6185740245227673,61.0140380859375,0.34924042224884033,0.12598752975463867
1000_F_296545772_g7fYX0dbPbnVaUTrBNmTkfC0DlJsG0in_jpg.rf.6bafeec6152c7c4e16c8b98666125a63_HR.png,1000_F_296545772_g7fYX0dbPbnVaUTrBNmTkfC0DlJsG0in_jpg.rf.6bafeec6152c7c4e16c8b98666125a63_LR.png,28.60308840423609,0.46127114171603945,89.6956787109375,0.40161097049713135,0.1465429663658142
1000_F_296545984_k7MORjq53Luqn2oPRSDyGvvnXjGERkv1_jpg.rf.f1bab01139d1251605396b6dcf97d285_HR.png,1000_F_296545984_k7MORjq53Luqn2oPRSDyGvvnXjGERkv1_jpg.rf.f1bab01139d1251605396b6dcf97d285_LR.png,30.48245013777143,0.6794026307795853,58.1882568359375,0.38131216168403625,0.14474838972091675
1000_F_296546029_V1nrRT8jpG6c6W53KxyqpRDfzQuOrvFD_jpg.rf.d72956c2d01e2add7e0f672f98811eb3_HR.png,1000_F_296546029_V1nrRT8jpG6c6W53KxyqpRDfzQuOrvFD_jpg.rf.d72956c2d01e2add7e0f672f98811eb3_LR.png,30.97894902890154,0.7059417972193535,51.9021630859375,0.3056371808052063,0.10762965679168701
1000_F_301814402_ssrMXvvjPYny5g5OTU3YNUCE1ZrP8V2q_jpg.rf.500e1bd24b4a0efc78b3a521ad150bb6_HR.png,1000_F_301814402_ssrMXvvjPYny5g5OTU3YNUCE1ZrP8V2q_jpg.rf.500e1bd24b4a0efc78b3a521ad150bb6_LR.png,33.126901311064046,0.8034386382084361,31.65120361328125,0.35500437021255493,0.10925757884979248
1000_F_301814514_0lo0FE04yA0WRdVMQjn4dVWNDQNqRg8I_jpg.rf.edafbf8b3f6681bac4398071349102b6_HR.png,1000_F_301814514_0lo0FE04yA0WRdVMQjn4dVWNDQNqRg8I_jpg.rf.edafbf8b3f6681bac4398071349102b6_LR.png,30.492917810400158,0.6671062633452856,58.04817626953125,0.38768070936203003,0.11782228946685791
1000_F_301814767_rP6ZKhks5U0QBGVb3qMoa3Lao3xfQof7_jpg.rf.b6e5ac4184658b43db33ae95004bc883_HR.png,1000_F_301814767_rP6ZKhks5U0QBGVb3qMoa3Lao3xfQof7_jpg.rf.b6e5ac4184658b43db33ae95004bc883_LR.png,28.584978202198045,0.4564948774972894,90.0704931640625,0.4600292146205902,0.17241179943084717
1000_F_338185491_QLv0GG4oHXSkuRR4Gx9JXNlCL3P7Pk8f_jpg.rf.2a3b001301f782ad7cd2a9501fd48ec8_HR.png,1000_F_338185491_QLv0GG4oHXSkuRR4Gx9JXNlCL3P7Pk8f_jpg.rf.2a3b001301f782ad7cd2a9501fd48ec8_LR.png,36.180439794991784,0.8783000155856285,15.6688232421875,0.1680694818496704,0.13681119680404663
1000_F_366721872_Fd37TFFH8lwv3Oo4wMgTzJyKc3EGOBaT_jpg.rf.e63f5695a291dfa112226090e1169820_HR.png,1000_F_366721872_Fd37TFFH8lwv3Oo4wMgTzJyKc3EGOBaT_jpg.rf.e63f5695a291dfa112226090e1169820_LR.png,28.270733088762686,0.406314862926832,96.82935791015625,0.5777105689048767,0.1903969645500183
1000_F_366721938_vxksu8S2CVbbhyjfqeOvgT8f7CJSVpMH_jpg.rf.3a080808d66d834f1bc32624056e5da1_HR.png,1000_F_366721938_vxksu8S2CVbbhyjfqeOvgT8f7CJSVpMH_jpg.rf.3a080808d66d834f1bc32624056e5da1_LR.png,30.930742104287884,0.70838439477964,52.4814892578125,0.3591172993183136,0.15389800071716309
1000_F_366721972_Ll8fSEQqdtjEaCm1Dc9MYm5QUQGY60SI_jpg.rf.47e1f316be8b1d2b3d6c0b5d87881c01_HR.png,1000_F_366721972_Ll8fSEQqdtjEaCm1Dc9MYm5QUQGY60SI_jpg.rf.47e1f316be8b1d2b3d6c0b5d87881c01_LR.png,29.13053925385459,0.575026268658628,79.43765869140626,0.3697046637535095,0.1526058316230774
1000_F_383292702_wRzrZtJIx43WBecx415HxNrp3X4RV5QI_jpg.rf.46c6b85f8509a3b2cbb10c76defe588d_HR.png,1000_F_383292702_wRzrZtJIx43WBecx415HxNrp3X4RV5QI_jpg.rf.46c6b85f8509a3b2cbb10c76defe588d_LR.png,29.082858226408806,0.5576395088920589,80.31460693359375,0.3758576214313507,0.15301251411437988
