Image1,Image2,PSNR,SSIM,MSE,LPIPS,DISTS
033154971-f66a3e8c-97c1-47f6-b590-afc8d761ca2e_jpg.rf.82748684ce7392ff865e0a4d7a7312fb_HR.png,033154971-f66a3e8c-97c1-47f6-b590-afc8d761ca2e_jpg.rf.82748684ce7392ff865e0a4d7a7312fb_LR.png,29.843072924141598,0.7512408586021977,67.41756591796874,0.29260626435279846,0.1193770170211792
1000_F_125576821_JU2Pwcw838NfTEnQnnxIki81gjOxdYlm_jpg.rf.bbc60031d3dc808149f01a6ee492f528_HR.png,1000_F_125576821_JU2Pwcw838NfTEnQnnxIki81gjOxdYlm_jpg.rf.bbc60031d3dc808149f01a6ee492f528_LR.png,29.942736947734115,0.6307467990836646,65.8880517578125,0.31940150260925293,0.15678930282592773
1000_F_126093845_sIvwmXk6lnhypxz5sN97YBzQGuvcmkpU_jpg.rf.a3db35d89f8ca4289d7855edb65b7df8_HR.png,1000_F_126093845_sIvwmXk6lnhypxz5sN97YBzQGuvcmkpU_jpg.rf.a3db35d89f8ca4289d7855edb65b7df8_LR.png,32.91438516872311,0.8450462564222097,33.23853271484375,0.22092008590698242,0.12478697299957275
1000_F_134447793_EnhBk05fYouwQELUpZSTSEKk8JrYkNnp_jpg.rf.d1073e4b5c43a1108cb2417c7aef195d_HR.png,1000_F_134447793_EnhBk05fYouwQELUpZSTSEKk8JrYkNnp_jpg.rf.d1073e4b5c43a1108cb2417c7aef195d_LR.png,30.075059192271528,0.6566585995473158,63.91082763671875,0.2997433543205261,0.14140444993972778
1000_F_234736202_BXMvSxxBXUTNjl8yYnDxabjrs5HEeaaf_jpg.rf.6325c3b929792b6d45af761fee3a814a_HR.png,1000_F_234736202_BXMvSxxBXUTNjl8yYnDxabjrs5HEeaaf_jpg.rf.6325c3b929792b6d45af761fee3a814a_LR.png,35.48164068894615,0.898366744980575,18.40417236328125,0.19565117359161377,0.08633768558502197
1000_F_234818682_heLTbtXJzmq90RNTxosHXnAqaLA6jcQH_jpg.rf.43a672a68847fd9517c9ba0ab06caab0_HR.png,1000_F_234818682_heLTbtXJzmq90RNTxosHXnAqaLA6jcQH_jpg.rf.43a672a68847fd9517c9ba0ab06caab0_LR.png,34.717286868382324,0.8651130043069671,21.94581298828125,0.23510658740997314,0.08418595790863037
1000_F_296545591_ZCTwR7gLtfzDCadpW7Qn6P0afI1AOQFo_jpg.rf.a8ba2d2e07a065bbeb251757f86cd219_HR.png,1000_F_296545591_ZCTwR7gLtfzDCadpW7Qn6P0afI1AOQFo_jpg.rf.a8ba2d2e07a065bbeb251757f86cd219_LR.png,31.33641528774089,0.7353567158714677,47.80120361328125,0.2719819247722626,0.10579037666320801
1000_F_296545708_jGH52yxeGaUGBKk3udIOMoeqfXz5EJ0o_jpg.rf.a77faab140854bc0c4a3b99d99841ab9_HR.png,1000_F_296545708_jGH52yxeGaUGBKk3udIOMoeqfXz5EJ0o_jpg.rf.a77faab140854bc0c4a3b99d99841ab9_LR.png,31.40461131135173,0.7397076676871854,47.05645751953125,0.248031347990036,0.11446678638458252
1000_F_296545772_g7fYX0dbPbnVaUTrBNmTkfC0DlJsG0in_jpg.rf.6bafeec6152c7c4e16c8b98666125a63_HR.png,1000_F_296545772_g7fYX0dbPbnVaUTrBNmTkfC0DlJsG0in_jpg.rf.6bafeec6152c7c4e16c8b98666125a63_LR.png,28.929681473664406,0.5128483761622162,83.19787109375,0.3533763885498047,0.13343381881713867
1000_F_296545984_k7MORjq53Luqn2oPRSDyGvvnXjGERkv1_jpg.rf.f1bab01139d1251605396b6dcf97d285_HR.png,1000_F_296545984_k7MORjq53Luqn2oPRSDyGvvnXjGERkv1_jpg.rf.f1bab01139d1251605396b6dcf97d285_LR.png,31.596086483887117,0.7719638129589124,45.026865234375,0.2730022370815277,0.12947618961334229
