Image1,Image2,PSNR,SSIM,MSE,LPIPS,DISTS
img_001_SRF_4_HR.png,img_001_SRF_4_LR.png,29.382654122842986,0.5295494508448914,74.957475,0.46710288524627686,0.14420241117477417
img_002_SRF_4_HR.png,img_002_SRF_4_LR.png,31.673708464248005,0.7423373967440423,44.229243827160495,0.3502833843231201,0.10758394002914429
img_003_SRF_4_HR.png,img_003_SRF_4_LR.png,29.835709847746152,0.6374171614051624,67.53196334838867,0.44432851672172546,0.1686016321182251
img_004_SRF_4_HR.png,img_004_SRF_4_LR.png,30.077447529592618,0.5391692716446534,63.87569049873738,0.48468196392059326,0.19491064548492432
img_005_SRF_4_HR.png,img_005_SRF_4_LR.png,29.98623690624706,0.7262559323706859,65.231395609319,0.20394989848136902,0.16357159614562988
img_006_SRF_4_HR.png,img_006_SRF_4_LR.png,32.689057986187706,0.7752736098654126,35.00858538122243,0.3186545670032501,0.1962907314300537
img_007_SRF_4_HR.png,img_007_SRF_4_LR.png,31.98245986217502,0.8071048216796582,41.19403888888889,0.18957120180130005,0.1300581693649292
img_008_SRF_4_HR.png,img_008_SRF_4_LR.png,34.58557102941575,0.9032597679342078,22.621596827651516,0.14464348554611206,0.11271494626998901
img_009_SRF_4_HR.png,img_009_SRF_4_LR.png,33.66657224936568,0.8343910886772055,27.952659606933594,0.24639084935188293,0.1022423505783081
img_010_SRF_4_HR.png,img_010_SRF_4_LR.png,31.32608306872163,0.7333032282421321,47.915061950683594,0.3187381327152252,0.16273844242095947
img_011_SRF_4_HR.png,img_011_SRF_4_LR.png,35.520021136320345,0.9315299313623244,18.24224344889323,0.11761032789945602,0.04311037063598633
img_012_SRF_4_HR.png,img_012_SRF_4_LR.png,34.087748662585604,0.8497664218090178,25.369125366210938,0.21797627210617065,0.08007639646530151
img_013_SRF_4_HR.png,img_013_SRF_4_LR.png,35.07276573881314,0.9273832299364891,20.221053907982263,0.08622074127197266,0.03503149747848511
img_014_SRF_4_HR.png,img_014_SRF_4_LR.png,30.529211353583644,0.7346977960039413,57.565094972461516,0.26047438383102417,0.115447998046875
,,32.17251771127467,0.7622456506085589,43.70823061675241,0.2750447578728199,0.12547008054597036
