Image1,Image2,PSNR,SSIM,MSE,LPIPS,DISTS
img_001_SRF_4_HR.png,img_001_SRF_4_LR.png,29.53175109356231,0.5671564620641113,72.42779296875,0.4662949740886688,0.2115975022315979
img_002_SRF_4_HR.png,img_002_SRF_4_LR.png,32.978454016722345,0.8040806057795867,32.75178385416667,0.22822915017604828,0.15912866592407227
img_003_SRF_4_HR.png,img_003_SRF_4_LR.png,32.92575164436363,0.8027610795785519,33.151653645833335,0.33079472184181213,0.17561089992523193
img_004_SRF_4_HR.png,img_004_SRF_4_LR.png,33.27105370599057,0.8366034218391388,30.61787109375,0.2748713195323944,0.17946696281433105
img_005_SRF_4_HR.png,img_005_SRF_4_LR.png,30.773912939682567,0.6977322872948346,54.411295572916664,0.4086054563522339,0.22308164834976196
img_006_SRF_4_HR.png,img_006_SRF_4_LR.png,35.15728560528267,0.8756751368496153,19.831328125,0.20796185731887817,0.14715760946273804
img_007_SRF_4_HR.png,img_007_SRF_4_LR.png,30.94415219539293,0.7412218123705889,52.3196875,0.3049628734588623,0.15694350004196167
img_008_SRF_4_HR.png,img_008_SRF_4_LR.png,29.86525454575533,0.5985876744527058,67.07410807291667,0.4772035479545593,0.21371585130691528
img_009_SRF_4_HR.png,img_009_SRF_4_LR.png,31.786847070279972,0.7801340848398813,43.09190104166667,0.3179756700992584,0.18488729000091553
img_010_SRF_4_HR.png,img_010_SRF_4_LR.png,32.55405503105094,0.7948751670210581,36.11393880208333,0.3186807632446289,0.16904127597808838
img_011_SRF_4_HR.png,img_011_SRF_4_LR.png,30.669561601722446,0.7104336211158775,55.73451171875,0.27867597341537476,0.18446063995361328
img_012_SRF_4_HR.png,img_012_SRF_4_LR.png,30.99805183031866,0.7258877077836101,51.67436848958334,0.3037174344062805,0.18768799304962158
img_013_SRF_4_HR.png,img_013_SRF_4_LR.png,31.932035311605958,0.7931328885781721,41.6751171875,0.3717227280139923,0.2143070101737976
img_014_SRF_4_HR.png,img_014_SRF_4_LR.png,33.390239049035046,0.8133006325311702,29.78903645833333,0.21986636519432068,0.1420707106590271
img_015_SRF_4_HR.png,img_015_SRF_4_LR.png,30.699019001907146,0.6648093099413728,55.35775390625,0.42572224140167236,0.22165513038635254
img_016_SRF_4_HR.png,img_016_SRF_4_LR.png,30.391371974756574,0.7360960646223521,59.42143880208334,0.27322128415107727,0.21980607509613037
img_017_SRF_4_HR.png,img_017_SRF_4_LR.png,35.19052680708916,0.8736056930585325,19.6801171875,0.22159774601459503,0.13369488716125488
img_018_SRF_4_HR.png,img_018_SRF_4_LR.png,35.38651132280516,0.8779881773536605,18.811751302083334,0.17874377965927124,0.17197537422180176
img_019_SRF_4_HR.png,img_019_SRF_4_LR.png,31.89411331503127,0.7160461173149993,42.04061197916667,0.33146047592163086,0.1570737361907959
img_020_SRF_4_HR.png,img_020_SRF_4_LR.png,33.03343492735315,0.7957440120797161,32.339765625,0.3230248987674713,0.17554795742034912
img_021_SRF_4_HR.png,img_021_SRF_4_LR.png,30.05316291451758,0.6749322359482948,64.2338671875,0.2858874797821045,0.19700837135314941
img_022_SRF_4_HR.png,img_022_SRF_4_LR.png,29.67411109870017,0.6247721641358064,70.09212890625,0.35043734312057495,0.1949836015701294
img_023_SRF_4_HR.png,img_023_SRF_4_LR.png,30.091545258600114,0.5592421115896821,63.66867838541667,0.5781652331352234,0.21807420253753662
img_024_SRF_4_HR.png,img_024_SRF_4_LR.png,31.612826113485216,0.7618828137891548,44.85364583333333,0.27375370264053345,0.15683794021606445
img_025_SRF_4_HR.png,img_025_SRF_4_LR.png,31.35224771707,0.8118232870868112,47.62725911458333,0.2603701949119568,0.24804013967514038
img_026_SRF_4_HR.png,img_026_SRF_4_LR.png,32.82059147770351,0.8376420576376978,33.96418619791667,0.22973810136318207,0.17666566371917725
img_027_SRF_4_HR.png,img_027_SRF_4_LR.png,30.986014493602365,0.7153789793317394,51.81779296875,0.3760092556476593,0.22649168968200684
img_028_SRF_4_HR.png,img_028_SRF_4_LR.png,32.351361822354285,0.7897815733733031,37.83939453125,0.3062644302845001,0.16308879852294922
img_029_SRF_4_HR.png,img_029_SRF_4_LR.png,36.497524009598656,0.8720795453004417,14.5655859375,0.2551821172237396,0.20716655254364014
img_030_SRF_4_HR.png,img_030_SRF_4_LR.png,29.36602150690979,0.521328853506528,75.24509765625,0.5233870148658752,0.2212398648262024
img_031_SRF_4_HR.png,img_031_SRF_4_LR.png,32.21628639910016,0.7794832487026337,39.034778645833335,0.2879832088947296,0.19658666849136353
img_032_SRF_4_HR.png,img_032_SRF_4_LR.png,28.625700065625857,0.44271551793114267,89.22988932291666,0.5290672779083252,0.27456164360046387
img_033_SRF_4_HR.png,img_033_SRF_4_LR.png,29.587076520088466,0.675368983076766,71.5109765625,0.3622142970561981,0.2421358823776245
img_034_SRF_4_HR.png,img_034_SRF_4_LR.png,31.562213522656116,0.7585447286553254,45.37942708333333,0.28234919905662537,0.20982396602630615
img_035_SRF_4_HR.png,img_035_SRF_4_LR.png,35.32869653752244,0.8779164872112731,19.063854166666665,0.25542956590652466,0.13398921489715576
img_036_SRF_4_HR.png,img_036_SRF_4_LR.png,31.239922020567374,0.7296262954615922,48.87515625,0.3856285810470581,0.19931083917617798
img_037_SRF_4_HR.png,img_037_SRF_4_LR.png,30.399491474654056,0.45079651562911643,59.31044921875,0.7379045486450195,0.3003907799720764
img_038_SRF_4_HR.png,img_038_SRF_4_LR.png,31.71330630356923,0.6957770715057495,43.82780598958333,0.3506045341491699,0.15615934133529663
img_039_SRF_4_HR.png,img_039_SRF_4_LR.png,31.288798297987892,0.7221141287651457,48.328190104166666,0.28694626688957214,0.17382323741912842
img_040_SRF_4_HR.png,img_040_SRF_4_LR.png,35.92556191571711,0.9429969117961073,16.615911458333333,0.07019858062267303,0.0943671464920044
img_041_SRF_4_HR.png,img_041_SRF_4_LR.png,31.511120401292324,0.7136920710954322,45.91645182291666,0.4049445390701294,0.17238008975982666
img_042_SRF_4_HR.png,img_042_SRF_4_LR.png,31.140940142475394,0.7172177873509401,50.001881510416666,0.3330872654914856,0.16742515563964844
img_043_SRF_4_HR.png,img_043_SRF_4_LR.png,32.200217746410964,0.7374339228874938,39.17947265625,0.35452136397361755,0.170756995677948
img_044_SRF_4_HR.png,img_044_SRF_4_LR.png,32.75042993265738,0.8613468068749436,34.51734375,0.1875293254852295,0.13015544414520264
